Study,Run,vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,class
1,1,0.86,0.93,0.25,0.30,0.17,Fracaso
1,2,0.61,0.46,0.36,0.31,0.84,Exito
1,3,1.00,0.37,0.52,0.50,0.62,Exito
1,4,0.78,0.10,0.20,0.42,0.74,Exito
1,5,0.41,0.51,0.06,0.64,0.84,Exito
1,6,0.04,0.63,0.30,0.81,0.22,Exito
1,7,0.16,0.55,0.15,0.65,0.14,Exito
1,8,0.42,0.90,0.93,0.92,0.40,Exito
1,9,0.17,0.35,0.99,0.29,0.56,Exito
1,10,0.66,0.41,0.81,0.16,0.86,Exito
1,11,0.59,0.29,0.42,0.33,0.46,Exito
1,12,0.88,0.42,0.90,0.17,0.79,Exito
1,13,0.96,0.98,0.86,0.61,0.62,Fracaso
1,14,0.17,0.01,0.62,0.52,0.25,Exito
1,15,0.40,0.20,0.97,0.84,0.61,Exito
1,16,0.05,0.31,0.91,0.72,0.43,Exito
1,17,0.81,0.70,0.70,0.98,0.98,Exito
1,18,0.60,0.79,0.79,0.43,0.92,Exito
1,19,0.45,0.23,0.87,0.84,0.13,Exito
1,20,0.36,0.54,0.41,0.39,0.66,Exito
1,21,0.80,0.13,0.88,0.53,0.55,Exito
1,22,0.50,0.36,0.94,0.15,0.58,Exito
1,23,0.03,0.68,0.02,0.11,0.83,Exito
1,24,0.29,0.82,0.55,0.98,0.48,Exito
1,25,0.48,0.27,0.29,0.42,0.83,Exito
1,26,0.77,0.03,0.50,0.18,0.50,Exito
1,27,0.42,0.37,0.74,0.06,0.19,Exito
1,28,0.53,0.15,0.35,0.09,0.74,Exito
1,29,0.31,0.24,0.83,0.02,1.00,Exito
1,30,0.25,0.73,0.94,0.89,0.24,Exito
1,31,0.38,0.88,0.03,0.36,0.36,Exito
1,32,0.72,0.33,0.58,0.02,0.38,Exito
1,33,0.68,0.12,0.53,0.19,0.42,Exito
1,34,0.74,0.42,0.43,0.69,0.04,Exito
1,35,0.01,0.94,0.25,0.68,0.97,Exito
1,36,0.20,0.44,0.67,1.00,0.11,Exito
1,37,0.49,0.24,0.64,0.54,0.07,Exito
1,38,0.94,0.76,0.48,0.83,0.09,Exito
1,39,0.40,0.62,0.35,0.69,0.21,Exito
1,40,0.12,0.60,0.49,0.12,0.40,Exito
1,41,0.81,0.25,0.55,0.06,0.57,Exito
1,42,0.93,0.53,0.07,0.51,0.80,Exito
1,43,0.32,0.50,0.54,0.58,0.94,Exito
1,44,0.68,0.90,0.97,0.76,0.63,Fracaso
1,45,0.13,0.96,0.51,0.82,0.29,Exito
1,46,0.37,0.16,0.56,0.89,0.33,Exito
1,47,0.12,0.76,0.34,0.78,0.16,Exito
1,48,0.86,0.39,0.60,0.85,0.77,Exito
1,49,0.73,0.78,0.96,0.05,0.42,Fracaso
1,50,0.89,0.83,0.73,0.38,0.72,Exito
1,51,0.35,0.02,0.67,0.97,0.38,Exito
1,52,0.47,0.93,0.60,0.30,0.59,Exito
1,53,0.60,0.82,0.91,0.26,0.03,Exito
1,54,0.63,0.58,0.05,0.29,0.30,Exito
1,55,0.68,0.47,0.71,0.96,0.67,Exito
1,56,0.90,0.20,0.46,0.71,0.88,Exito
1,57,0.14,0.45,0.63,0.24,0.99,Exito
1,58,0.96,0.87,0.44,0.07,0.14,Fracaso
1,59,0.44,0.29,0.75,0.88,0.92,Exito
1,60,0.22,1.00,0.66,0.80,0.20,Exito
1,61,0.26,0.72,0.24,0.26,0.29,Exito
1,62,0.52,0.56,0.05,0.81,0.93,Exito
1,63,0.62,0.74,0.78,0.03,0.24,Fracaso
1,64,0.11,0.81,0.39,0.25,0.39,Exito
1,65,0.47,0.45,0.57,0.36,0.65,Exito
1,66,0.66,0.27,0.11,0.92,0.23,Exito
1,67,0.17,0.28,0.07,0.73,0.53,Exito
1,68,0.54,0.22,0.27,0.61,0.32,Exito
1,69,0.31,0.55,0.33,0.70,0.45,Exito
1,70,0.55,0.64,0.18,0.94,0.97,Exito
1,71,0.06,0.03,0.27,0.34,0.06,Exito
1,72,0.84,0.35,0.14,0.91,0.72,Exito
1,73,0.27,0.65,0.99,0.78,0.46,Exito
1,74,0.02,0.79,0.39,0.86,0.82,Exito
1,75,0.27,0.61,0.17,0.68,0.01,Exito
1,76,0.50,0.52,0.02,0.04,0.80,Exito
1,77,0.29,0.94,0.80,0.80,0.63,Exito
1,78,0.91,0.85,0.03,0.38,0.65,Fracaso
1,79,0.79,0.10,0.38,0.32,0.27,Exito
