SpMaxL, JDz(e),nHM,F01,F04,NssssC, C,class
3.92,2.69,0,0,0,0,31.4,RB
4.17,2.11,0,0,0,0,30.8,RB
3.93,3.25,0,0,0,0,26.7,RB
3,2.71,0,0,0,0,20,RB
4.24,3.39,0,0,0,0,29.4,RB
4.24,3.43,0,0,0,0,28.6,RB
5,5.05,1,0,0,0,11.1,RB
4.53,3.83,0,0,0,0,31.6,RB
4.6,3.08,0,0,0,0,44.4,RB
5.04,3.61,0,0,1,0,41.2,RB
4.91,2.74,0,0,0,0,52.9,RB
3.62,2.19,0,0,0,0,29.4,RB
4.21,2.63,0,0,0,0,30,RB
3.73,2.34,0,0,0,0,30,RB
3.88,2.6,0,0,0,0,31,RB
3.94,2.77,1,0,0,0,31.6,RB
3.97,2.85,1,0,0,0,32,RB
3.73,2.38,0,0,1,0,26.3,RB
4,2.63,0,0,0,0,23.1,RB
2,1.15,0,0,0,0,16.7,RB
3.73,2.41,0,0,0,0,27.8,RB
4,2.37,0,0,0,0,30,RB
3.41,2.25,0,0,0,0,20,RB
4.17,2.8,0,0,0,0,23.1,RB
4.3,2.96,0,0,0,0,25,RB
3.41,2.63,0,0,0,0,37.5,RB
4.21,3.01,0,0,0,0,25,RB
3.85,2.85,0,0,0,0,27.3,RB
3.41,2.37,0,0,0,0,30,RB
4.39,3.65,0,0,0,0,37,RB
4.56,3.32,0,0,0,0,31.3,RB
4,2.92,0,0,0,0,30,RB
4.69,3.65,0,0,0,0,30,RB
4.24,2.99,0,0,0,0,33.3,RB
4.17,3.45,0,0,0,0,27.3,RB
4.21,3.39,0,0,0,0,28.6,RB
4.21,3.71,0,0,0,0,33.3,RB
4.23,3.4,0,0,0,0,27.8,RB
4.33,3.69,0,0,0,0,33.3,RB
4.37,3.37,0,0,0,0,33.3,RB
5.39,4.59,0,0,0,1,30.8,RB
4.45,3.7,0,0,0,0,30,RB
4.41,3.59,0,0,0,0,31.8,RB
4.53,3.79,0,0,0,0,32.5,RB
4.35,3.13,0,0,0,0,33.3,RB
4.56,3.81,0,0,0,0,33.3,RB
4.63,4.01,0,0,0,0,33.3,RB
4.66,2.41,0,0,0,0,35,RB
4.64,3.91,0,0,0,0,31.6,RB
4.65,3.96,0,0,0,0,34.3,RB
4.47,4.2,0,0,0,0,33.3,RB
4.56,3.73,2,0,0,0,25,RB
5.21,3.38,0,0,1,0,30.8,RB
4.69,3.88,0,0,0,0,25,RB
4.17,3.62,0,0,0,0,28.6,RB
4.21,3.34,0,0,0,0,33.3,RB
5.21,3.58,0,0,1,0,30.6,RB
4.17,2.66,0,0,0,0,26.7,RB
5.18,3.9,0,0,0,1,29.6,RB
4.64,3,0,0,0,0,42.1,RB
4.61,2.94,0,0,0,0,42.1,RB
4.81,3.25,0,0,0,0,42.1,RB
4.83,3.34,0,0,0,0,40,RB
4.54,2.7,0,0,0,0,42.9,RB
4.52,2.71,0,0,0,0,45,RB
4.61,3.11,0,0,0,0,46.7,RB
4.86,3.36,0,0,0,0,42.1,RB
4.92,3.25,0,0,0,0,44.4,RB
5.07,3.4,0,0,0,0,41.7,RB
5.07,3.09,0,0,0,0,38.1,RB
4.91,3.23,0,0,0,0,41.7,RB
5.05,2.74,0,0,0,0,50,RB
4.79,2.12,0,0,0,0,50,RB
4.77,3.14,0,0,0,0,43.8,RB
5.31,3.46,1,0,0,0,35.3,RB
4.77,2.54,0,0,0,0,38.5,RB
4.41,2.18,0,0,0,0,31.6,RB
4.82,2.59,0,0,0,0,33.3,RB
5.33,2.17,1,0,0,0,47.4,RB
4.61,3.04,0,0,0,0,47.1,RB
5.81,2.49,0,0,0,2,37,RB
5.64,2.3,0,0,0,1,38.5,RB
5.81,2.43,0,0,0,2,34.5,RB
4.73,2.94,0,0,0,0,40,RB
4.92,2.73,0,0,0,0,50,RB
4.41,3.23,0,0,0,0,45.5,RB
4.41,2.37,0,0,0,0,29.4,RB
4.98,2.8,0,0,2,0,50,RB
4.65,2.72,0,0,0,0,31.3,RB
4.8,3.02,0,0,1,0,50,RB
5.16,3.29,1,0,0,0,23.1,RB
4.83,2.73,0,0,6,0,25,RB
4.83,2.9,1,0,1,0,39.3,RB
5.44,2.36,2,0,2,0,23.5,RB
4.74,2.65,0,0,2,0,39.1,RB
4.66,3.72,2,0,0,0,23.1,RB
3.98,2.89,0,0,0,0,32.3,RB
4.17,2.61,0,0,0,0,25,RB
3,1.82,0,0,0,0,20,RB
3.62,2.39,0,0,0,0,25,RB
3,1.82,0,0,0,0,22.2,RB
4,2.51,0,0,0,0,25,RB
4.44,3.14,0,0,0,0,29.6,RB
3.88,2.63,0,0,0,0,29.6,RB
3.95,2.8,0,0,0,0,31,RB
5.39,3.7,1,0,0,0,26.7,RB
3.73,2.48,0,0,0,0,25,RB
3.97,3.02,0,0,0,0,32.7,RB
3.41,2.47,0,0,0,0,30,RB
3.41,2.18,0,0,0,0,18.2,RB
4.33,3.14,0,0,0,0,26.3,RB
3,2.31,0,0,0,0,28.6,RB
4.17,2.9,0,0,0,0,30.8,RB
4.41,3.17,0,0,0,0,31.6,RB
4.41,3.41,0,0,0,0,33.3,RB
4.24,3.19,0,0,0,0,34.6,RB
4.52,4.02,0,0,0,0,31.6,RB
4.48,3.54,0,0,0,0,32.4,RB
4.84,5.7,0,0,0,0,32.5,RB
4.48,3.74,0,0,0,0,30,RB
4.24,3.39,0,0,0,0,28.6,RB
4.38,3.4,0,0,0,0,30.8,RB
4.41,3.44,0,0,0,0,33.9,RB
4.24,3.04,0,0,0,0,31.3,RB
4.24,3.02,0,0,0,0,31.8,RB
4.41,3.73,0,0,0,0,30.6,RB
4.54,3.99,0,0,0,0,30.4,RB
4.4,3.46,1,0,0,0,32.3,RB
4.71,4.28,0,0,0,0,30,RB
4.67,4.02,0,0,0,0,33.3,RB
4.64,3.7,0,0,0,0,33.3,RB
4.64,3.12,0,0,0,0,33.3,RB
4.34,3.94,0,0,0,0,33.3,RB
4.17,3.27,0,0,0,0,22.2,RB
4.59,4.03,0,0,0,0,32,RB
4.17,3.38,0,0,0,0,40,RB
5.1,3.84,1,0,0,0,17.6,RB
4.21,3.52,1,0,0,0,27.3,RB
5.1,3.13,1,0,0,0,27.3,RB
4.37,3.46,0,0,0,0,38.5,RB
4.17,2.22,0,0,0,0,27.3,RB
3.8,2.84,0,0,0,0,31.6,RB
4.24,3.08,0,0,0,0,28,RB
4.75,4,0,0,0,0,31,RB
